date,total_USD
2026-06-19,51565.52
2026-06-20,51632.98
2026-06-21,51638.12
2026-06-22,51262.38
2026-06-23,49973.2
2026-06-24,48933.34
2026-06-25,48686.06
2026-06-26,48715.41
2026-06-27,48722.29
2026-06-28,48634.94
2026-06-29,49140.68
2026-06-30,49249.17
2026-07-01,49335.18
2026-07-02,49661.77
2026-07-03,49936.82
2026-07-04,50012.58
2026-07-05,50067.8
2026-07-06,50466.34
2026-07-07,49572.19
2026-07-08,48990.94
2026-07-09,49672.48
2026-07-11,49737.46
2026-07-12,49645.04
2026-07-13,48755.49
2026-07-14,49364.63
2026-07-15,49324.05
2026-07-16,48668.66
2026-07-17,48370.26
2026-07-18,48443.6
2026-07-19,48442.09
2026-07-20,48460.61
2026-07-21,49336.23
2026-07-22,49340.94
2026-07-23,48484.7
2026-07-24,48365.59
2026-07-25,48398.79
2026-07-26,48576.49
2026-07-27,48735.3
2026-07-28,48394.1
2026-07-29,47997.73
2026-07-30,48957.26
2026-07-31,48578.07
2026-08-01,48548.3
2026-08-02,48681.68
2026-08-03,49288.16
